step,loss,reward_mean,pass_rate,advantage_std
1,0.0637674555182457,0.6037499904632568,0.5,0.4999999403953552
2,-0.0,1.0,1.0,0.0
3,-0.013629071414470673,0.6471874713897705,0.5,1.0
4,0.014716492965817451,0.4606249928474426,0.25,0.9999999403953552
5,-0.07981649786233902,0.6787500381469727,0.5,1.0
6,-0.02958834171295166,0.6434375047683716,0.5,1.0
7,0.002622682601213455,0.9306249618530273,0.875,0.5
8,0.016921579837799072,0.5043749809265137,0.375,0.9999997615814209
9,-0.000484539195895195,0.20500001311302185,0.0,0.9999998211860657
10,0.018383007496595383,0.20812499523162842,0.0,1.0
11,-0.0005312282592058182,0.39656251668930054,0.25,1.0
12,-0.019625725224614143,0.4449999928474426,0.25,0.9999999403953552
13,-0.04473651573061943,0.4240625202655792,0.25,1.0
14,0.002431020140647888,0.39281249046325684,0.125,1.0
15,0.007734114304184914,0.6287500262260437,0.5,1.0
16,-0.09491817653179169,0.7093750238418579,0.625,1.0
17,-0.010993387550115585,0.6356250047683716,0.5,0.5
18,-0.047366831451654434,0.5118750333786011,0.375,1.0
19,-0.03484630957245827,0.831250011920929,0.75,0.5
20,-0.014625705778598785,0.7293750047683716,0.625,0.5
21,-0.007292907685041428,0.6778124570846558,0.5,1.0
22,-0.01903374306857586,0.5268750190734863,0.375,1.0
23,-0.003998357802629471,0.832812488079071,0.75,1.0
24,0.009605556726455688,0.7028124928474426,0.625,0.5
25,0.008976921439170837,0.6700000166893005,0.5,0.5
26,0.011444855481386185,0.7193750143051147,0.625,1.0
27,0.008250994607806206,0.6568750143051147,0.5,1.0
28,0.003848358988761902,0.8034374713897705,0.75,1.0
29,-0.021136077120900154,0.31062498688697815,0.125,1.0
30,-0.0209798626601696,0.8028124570846558,0.75,1.0
31,-0.06853246688842773,0.40968751907348633,0.25,1.0
32,-0.012501370161771774,0.7224999666213989,0.625,0.5
33,0.0492771677672863,0.5249999761581421,0.375,0.9999999403953552
34,0.022778663784265518,0.29250001907348633,0.0,0.9999999403953552
35,-0.020815353840589523,0.5900000333786011,0.5,1.0
36,-0.07665105909109116,0.6209375262260437,0.5,0.9999999403953552
37,0.008680913597345352,0.7581250071525574,0.625,0.5
38,-0.002317303791642189,0.41843754053115845,0.25,1.0
39,-0.060888227075338364,0.5831249952316284,0.375,0.9999999403953552
40,0.030925165861845016,0.3453125059604645,0.125,1.0
41,-0.0,1.0,1.0,0.0
42,0.036656323820352554,0.5918749570846558,0.5,1.0
43,-0.007040772587060928,0.6599999666213989,0.5,1.0
44,-0.04455236345529556,0.8009375333786011,0.75,0.4999999701976776
45,-0.009171731770038605,0.6278125047683716,0.5,0.9999999403953552
46,-0.018975306302309036,0.5487500429153442,0.375,0.9999999403953552
47,-0.007986384443938732,0.8168749809265137,0.75,0.4999999701976776
48,0.03459116071462631,0.5134375095367432,0.375,0.9999999403953552
49,-0.03799618035554886,0.5062499642372131,0.375,1.0
50,-0.07192224264144897,0.7300000190734863,0.625,1.0
51,-0.02586597576737404,0.8456250429153442,0.75,0.9999999403953552
52,-0.0022615697234869003,0.9306249618530273,0.875,0.5
53,0.02118765562772751,0.4971874952316284,0.25,1.0
54,-0.025591202080249786,0.5306249856948853,0.375,1.0
55,-0.04616744443774223,0.6206250190734863,0.375,0.9999999403953552
56,-0.0,1.0,1.0,0.0
57,-0.06655214726924896,0.7015625238418579,0.625,1.0
58,0.004987262189388275,0.20375001430511475,0.0,0.49999988079071045
59,-0.01119651272892952,0.6040624976158142,0.5,0.9999998807907104
60,-0.019929317757487297,0.5196875333786011,0.375,0.9999999403953552
61,-0.022049594670534134,0.5331250429153442,0.375,1.0
62,0.013009816408157349,0.4112499952316284,0.25,1.0
63,-0.03382916748523712,0.903124988079071,0.875,0.5
64,-0.0013386011123657227,0.7196875214576721,0.625,0.5
65,-0.02933097630739212,0.8034374713897705,0.75,0.4999999403953552
66,0.001091696321964264,0.6025000214576721,0.5,0.4999997615814209
67,0.011073291301727295,0.7024999856948853,0.625,0.5
68,-0.00030231475830078125,0.4090625047683716,0.125,0.9999999403953552
69,0.002085910178720951,0.800000011920929,0.75,0.5
70,-0.034218527376651764,0.7065625190734863,0.5,1.0
71,-0.012921343557536602,0.3700000047683716,0.25,1.0
72,-0.005971886217594147,0.6003124713897705,0.5,0.5
73,0.0014542564749717712,0.8387500047683716,0.75,0.5
74,0.0062064528465271,0.9149999618530273,0.875,0.5
75,0.02901037037372589,0.3646875023841858,0.125,1.0
76,-0.026781179010868073,0.7365624904632568,0.625,1.0
77,-0.0662737488746643,0.7034375071525574,0.625,0.4999999701976776
78,-0.03742939606308937,0.5774999856948853,0.375,1.0
79,-0.0,1.0,1.0,0.0
80,-0.0,1.0,1.0,0.0
81,-0.017677370458841324,0.8999999761581421,0.875,0.5
82,0.015343986451625824,0.8084375262260437,0.75,0.5
83,-0.10517175495624542,0.3318750262260437,0.125,1.0
84,-0.02741665579378605,0.19812500476837158,0.0,1.0
85,0.020226189866662025,0.5346875190734863,0.25,0.9999999403953552
86,-0.01593935489654541,0.7065625190734863,0.5,0.49999991059303284
87,8.524768054485321e-05,0.3356249928474426,0.125,1.0
88,0.0013702921569347382,0.590624988079071,0.375,1.0
89,-0.011288180947303772,0.8999999761581421,0.875,0.5
90,0.04730840027332306,0.4228125214576721,0.25,0.9999999403953552
91,-0.01755414344370365,0.5971875190734863,0.5,1.0
92,0.00020825862884521484,0.7290624976158142,0.625,0.5
93,0.0009223893284797668,0.7756249904632568,0.625,0.5
94,-0.020925788208842278,0.7440625429153442,0.625,1.0
95,-0.020504256710410118,0.8012499809265137,0.75,1.0
96,-0.0011667516082525253,0.590624988079071,0.5,1.0
