step,loss,reward_mean,pass_rate,advantage_std
1,0.006117701530456543,0.2368749976158142,0.0,0.5
2,-0.023938264697790146,0.2056249976158142,0.0,0.5
3,-0.023387126624584198,0.2162500023841858,0.0,0.4999999403953552
4,-0.009668570011854172,0.6859375238418579,0.5,0.4999999701976776
5,-0.07590416073799133,0.3684375286102295,0.125,0.9999999403953552
6,-0.04825831204652786,0.3384374976158142,0.125,0.9999999403953552
7,-0.03862898424267769,0.37156248092651367,0.125,1.0000001192092896
8,-0.09344249218702316,0.5543749928474426,0.375,1.0
9,-0.05828508362174034,0.2643750011920929,0.0,1.0
10,-0.006268791854381561,0.3115624785423279,0.125,1.0
11,-0.04807126522064209,0.3149999976158142,0.125,1.000000238418579
12,-0.0040529705584049225,0.2459374964237213,0.0,0.9999998807907104
13,-0.074433833360672,0.25,0.0,1.0
14,0.017947811633348465,0.3331249952316284,0.125,1.0
15,-0.05778706073760986,0.4803124666213989,0.375,1.0
16,0.005820289254188538,0.2237500101327896,0.0,0.9999996423721313
17,0.0037385858595371246,0.2228125035762787,0.0,0.5
18,-0.02549958974123001,0.2318750023841858,0.0,0.4999999403953552
19,-0.06598769128322601,0.5193749666213989,0.25,1.0
20,-0.022078778594732285,0.19499999284744263,0.0,0.9999998807907104
21,-0.03264717757701874,0.31468749046325684,0.125,1.0
22,-0.011111274361610413,0.24812498688697815,0.0,0.4999999403953552
23,-0.05216002091765404,0.2278124988079071,0.0,1.0
24,-0.025112684816122055,0.45625001192092896,0.25,0.9999998807907104
25,-0.03592722862958908,0.653124988079071,0.5,0.9999998807907104
26,-0.02066958323121071,0.2006250023841858,0.0,0.9999999403953552
27,0.02157902717590332,0.2293749898672104,0.0,0.9999999403953552
28,-0.03372456878423691,0.2487499862909317,0.0,0.9999998807907104
29,-0.07296444475650787,0.5074999928474426,0.375,1.0
30,0.01315014436841011,0.21968750655651093,0.0,1.0
31,-0.0774240493774414,0.20374999940395355,0.0,0.9999998807907104
32,-0.0687456950545311,0.21281251311302185,0.0,0.9999997615814209
33,-0.02846231497824192,0.20531249046325684,0.0,0.5
34,-0.001019064337015152,0.30906248092651367,0.0,0.9999998807907104
35,-0.05864815041422844,0.6425000429153442,0.5,0.4999999701976776
36,0.003913097083568573,0.2056249976158142,0.0,1.0
37,-0.04513868689537048,0.2718749940395355,0.0,1.0
38,-0.05317306146025658,0.24281251430511475,0.0,0.9999999403953552
39,-0.029338963329792023,0.21812500059604645,0.0,1.0
40,-0.035826168954372406,0.3421874940395355,0.0,1.0
41,-0.03020291216671467,0.6078125238418579,0.5,0.5
42,-0.015298336744308472,0.22093749046325684,0.0,0.9999999403953552
43,-0.015091191977262497,0.2706249952316284,0.0,1.0
44,-0.021701831370592117,0.3084375262260437,0.0,0.9999998807907104
45,0.019785325974225998,0.23593750596046448,0.0,0.9999999403953552
46,0.033875368535518646,0.37812501192092896,0.0,1.0
47,-0.04367462173104286,0.17937499284744263,0.0,1.0
48,0.03336361050605774,0.2849999964237213,0.0,1.0
49,0.016753971576690674,0.2515625059604645,0.0,1.0
50,-0.023269519209861755,0.703125,0.625,1.0
51,-0.015524264425039291,0.20406249165534973,0.0,0.4999997019767761
52,0.0059265680611133575,0.23499998450279236,0.0,0.9999997615814209
53,0.0087977834045887,0.27812498807907104,0.0,0.9999999403953552
54,-0.02424260973930359,0.31468749046325684,0.125,0.9999999403953552
55,-0.0390143096446991,0.20531249046325684,0.0,0.5
56,-0.009299393743276596,0.22593750059604645,0.0,0.9999998807907104
57,-0.024142228066921234,0.3528124988079071,0.125,0.9999999403953552
58,0.011938698589801788,0.19343748688697815,0.0,1.0
59,-0.050918564200401306,0.25843751430511475,0.0,1.0
